AGENT_VERSION,CLUSTER_TYPE,ARCHITECTURE,K8S_VERSION,OS,Kernel,runtime_type,runtime_version,TYPE_INSTALLATION,AGENT_INSTALL_METHOD
dev,,arm64,,Amazon Linux 2022,5.15.73-45.135.amzn2022.aarch64,docker,20.10.17,SLIM,docker
12.11.0-rc1,,x86_64,,Red Hat Enterprise Linux 9.1 (Plow),5.14.0-162.12.1.el9_1.x86_64,,,SLIM,native
12.11.0-rc2,,x86_64,,Red Hat Enterprise Linux 8.7 (Ootpa),4.18.0-425.10.1.el8_7.x86_64,,,SLIM,native
dev,,x86_64,,Red Hat Enterprise Linux Server 7.9 (Maipo),3.10.0-1160.83.1.el7.x86_64,docker,23.0.0,SLIM,docker
12.11.0-rc3,,x86_64,,Ubuntu 22.04.1 LTS (Jammy Jellyfish),5.15.0-1028-aws,docker,20.10.12,SLIM,docker
12.11.0-rc3,,x86_64,,Red Hat Enterprise Linux 8.7 (Ootpa),4.18.0-425.10.1.el8_7.x86_64,,,SLIM,native
dev,okd4,x86_64,v1.24.6+5658434,Red Hat Enterprise Linux CoreOS 411.86.202301102150-0 (Ootpa),4.18.0-372.36.1.el8_6.x86_64,cri-o,1.24.4-3.rhaos4.11.git1d7361a.el8,SLIM,helm
0.1.1dev,roks,x86_64,v1.22.15+c763d11,Red Hat,3.10.0-1160.83.1.el7.x86_64,cri-o,1.22.5-16.rhaos4.9.git88e9cdc.el7,AGENT,helm
12.11.0-rc1,,arm64,,Amazon Linux 2,5.10.162-141.675.amzn2.aarch64,docker,20.10.17,SLIM,docker
12.11.0-rc1,,x86_64,,Ubuntu 22.04.1 LTS (Jammy Jellyfish),5.15.0-1028-aws,,,SLIM,native
0.1.driver,,x86_64,,Red Hat Enterprise Linux 9.1 (Plow),5.14.0-162.12.1.el9_1.x86_64,,,SLIM,native
0.1.driver,,x86_64,,Fedora Linux 36 (Cloud Edition),6.1.9-100.fc36.x86_64,,,SLIM,native
dev,kops,x86_64,v1.26.0,Ubuntu 20.04.5 LTS,5.15.0-1026-aws,containerd,1.6.10,SLIM,helm
12.7.0-rc,,x86_64,,Ubuntu 22.04 LTS (Jammy Jellyfish),5.15.0-1009-aws,,,AGENT,native
latest,,x86_64,,Ubuntu 18.04.6 LTS (Bionic Beaver),5.4.0-1075-aws,docker,20.10.7,AGENT,docker
12.11.0-rc1,kops,x86_64,v1.26.1,Ubuntu 20.04.5 LTS,5.15.0-1028-aws,containerd,1.6.10,SLIM,helm
SMAGENT-4468-linux-amd64,,x86_64,,Ubuntu 22.04.1 LTS (Jammy Jellyfish),5.15.0-1028-aws,docker,20.10.12,SLIM,docker
12.5.0-rc,okd3,x86_64,v1.11.0+d4cacc0,CentOS Linux 7 (Core),3.10.0-1160.62.1.el7.x86_64,docker,1.13.1,SLIM & AGENT,kubernetes & helm
12.5.0-rc,kops,x86_64,v1.21.0,Ubuntu 20.04.4 LTS,5.13.0-1021-aws,containerd,1.4.12,AGENT,kubernetes
12.7.0-rc,,x86_64,,Fedora 34 (Cloud Edition),5.17.12-100.fc34.x86_64,,,AGENT,native
12.8.1,roks,x86_64,v1.22.8+9e95cb9,Red Hat,3.10.0-1160.76.1.el7.x86_64,cri-o,1.22.5-9.rhaos4.9.git70fb67b.el7,SLIM & AGENT,kubernetes & helm
12.8.1,eks,x86_64,v1.22.10-eks-7dc61e8,Bottlerocket OS 1.9.2 (aws-k8s-1.22),5.10.130,containerd,1.6.6+bottlerocket,SLIM & AGENT,kubernetes & helm
latest,,x86_64,,Ubuntu 22.04.1 LTS (Jammy Jellyfish),5.15.0-1028-aws,docker,20.10.12,SLIM,docker
12.8.0-rc2,,x86_64,,Red Hat Enterprise Linux Server 7.9 (Maipo),3.10.0-1160.71.1.el7.x86_64,,,AGENT,native
12.9.1-rc1,,arm64,,Fedora Linux 36 (Cloud Edition),6.0.7-200.fc36.aarch64,docker,20.10.21,SLIM,docker
latest,eks,x86_64,v1.22.10-eks-7dc61e8,Bottlerocket OS 1.9.1 (aws-k8s-1.22),5.10.130,containerd,1.6.6+bottlerocket,SLIM & AGENT,kubernetes & helm
12.10.1,kops,x86_64,v1.26.0,Ubuntu 20.04.5 LTS,5.15.0-1026-aws,containerd,1.6.10,SLIM,helm
12.10.1-rc1,rancher,x86_64,v1.20.4,SUSE Linux Enterprise Server 15 SP2,5.3.18-24.67-default,docker,20.10.6-ce,SLIM & AGENT,kubernetes & helm
12.10.1-rc1,,arm64,,Amazon Linux 2022,5.15.73-45.135.amzn2022.aarch64,docker,20.10.17,SLIM,docker
12.5.0,okd3,x86_64,v1.11.0+d4cacc0,CentOS Linux 7 (Core),3.10.0-1160.62.1.el7.x86_64,docker,1.13.1,SLIM & AGENT,kubernetes & helm
12.8.1,,arm64,,Fedora Linux 36 (Cloud Edition),5.19.9-200.fc36.aarch64,docker,20.10.18,SLIM,docker
12.6.0-rc,,x86_64,,CentOS Linux 7 (Core),3.10.0-1160.62.1.el7.x86_64,,,AGENT,native
12.6.0-rc,,arm64,,Ubuntu 20.04.4 LTS (Focal Fossa),5.13.0-1022-aws,docker,20.10.12,AGENT,docker
0.1.xiao3843,eks,x86_64,v1.22.15-eks-fb459a0,Amazon Linux 2,5.4.219-126.411.amzn2.x86_64,docker,20.10.17,SLIM & AGENT,kubernetes & helm
12.10.0-rc1,,arm64,,Fedora Linux 35 (Cloud Edition),6.0.10-100.fc35.aarch64,docker,20.10.21,SLIM,docker
12.10.0-rc1,kops,x86_64,v1.25.4,Ubuntu 20.04.5 LTS,5.15.0-1022-aws,containerd,1.6.10,SLIM & AGENT,kubernetes & helm
12.10.0-rc1,kops,arm64,v1.25.4,Ubuntu 20.04.5 LTS,5.15.0-1022-aws,containerd,1.6.10,SLIM & AGENT,kubernetes & helm
12.9.0-rc3,,arm64,,Amazon Linux 2022,5.15.57-30.131.amzn2022.aarch64,docker,20.10.17,AGENT,docker
12.4.0,,x86_64,,Amazon Linux 2,4.14.273-207.502.amzn2.x86_64,,,AGENT,native
12.7.1-rc,,arm64,,Amazon Linux 2,4.14.281-212.502.amzn2.aarch64,docker,20.10.13,AGENT,docker
12.8.0-rc1,,x86_64,,CentOS Linux 7 (Core),3.10.0-1160.71.1.el7.x86_64,docker,20.10.17,AGENT,docker
12.8.0-rc2,,x86_64,,Fedora Linux 35 (Cloud Edition),5.18.13-100.fc35.x86_64,,,AGENT,native
dev,,x86_64,,SLES 15-SP4,5.14.21-150400.24.41-default,docker,20.10.17-ce,SLIM,docker
dev,,arm64,,Debian GNU/Linux 10 (buster),4.19.0-23-arm64,docker,18.09.1,SLIM,docker
dev,,x86_64,,Fedora Linux 36 (Cloud Edition),6.1.10-100.fc36.x86_64,,,SLIM,native
12.8.1-rc1,,x86_64,,Red Hat Enterprise Linux 8.6 (Ootpa),4.18.0-372.19.1.el8_6.x86_64,,,AGENT,native
12.8.1-rc1,okd3,x86_64,v1.11.0+d4cacc0,CentOS Linux 7 (Core),3.10.0-1160.76.1.el7.x86_64,docker,1.13.1,SLIM & AGENT,kubernetes & helm
12.11.0-rc3,okd4,x86_64,v1.24.6+5658434,Red Hat Enterprise Linux CoreOS 411.86.202301102150-0 (Ootpa),4.18.0-372.36.1.el8_6.x86_64,cri-o,1.24.4-3.rhaos4.11.git1d7361a.el8,SLIM,helm
12.11.0-rc3,,x86_64,,Ubuntu 20.04.5 LTS (Focal Fossa),5.15.0-1028-aws,,,SLIM,native
12.11.0-rc3,,x86_64,,Debian GNU/Linux 11 (bullseye),5.10.0-21-cloud-amd64,,,SLIM,native
12.11.0-rc1,,x86_64,,Fedora Linux 36 (Cloud Edition),6.1.8-100.fc36.x86_64,docker,20.10.23,SLIM,docker
12.11.0-rc1,eks,arm64,v1.22.17-eks-cab6f26,Bottlerocket OS 1.12.0 (aws-k8s-1.22),5.10.157,containerd,1.6.15+bottlerocket,SLIM & AGENT,kubernetes & helm
do_not_patchelf-linux-amd64,,x86_64,,Fedora Linux 36 (Cloud Edition),6.1.9-100.fc36.x86_64,docker,23.0.0,SLIM,docker
12.10.1-rc1,okd4,x86_64,v1.22.15+c763d11,Red Hat Enterprise Linux CoreOS 49.84.202212201621-0 (Ootpa),4.18.0-305.72.1.el8_4.x86_64,cri-o,1.22.5-16.rhaos4.9.git88e9cdc.el8,SLIM,helm
